cell_label,X,Y,class,subclass
1104095349102170581,6.623044348877649,4.4580024327887084,19 MB Glut,176 SCig Foxb1 Glut
1104095349102190904,6.582613768085895,3.268976151189121,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102330093-1,6.776048402760075,4.460178267513764,20 MB GABA,209 SCs Pax7 Nfia Gaba
1104095349102500223-1,7.311133253191408,3.8405414011085215,30 Astro-Epen,319 Astro-TE NN
1104095349102170750-1,6.723209850291239,4.4640303535176,19 MB Glut,176 SCig Foxb1 Glut
1104095349102350298-1,6.774445687657333,3.2594553263528403,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102020712-1,6.112571512563127,3.9685131358011536,20 MB GABA,207 SCs Dmbx1 Gaba
1104095349102510083,7.143923620947573,3.4420391707480444,07 CTX-MGE GABA,053 Sst Gaba
1104095349102030868,6.141447223602817,3.646185074303245,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102350034,6.605530238963603,3.2637551628929025,33 Vascular,333 Endo NN
1104095349102020726-1,6.103975926335665,3.8114885632697817,30 Astro-Epen,318 Astro-NT NN
1104095349102030911,6.158531245929938,3.604574815854716,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102190498,6.370929955897607,3.356776570754682,01 IT-ET Glut,022 L5 ET CTX Glut
1104095349102030890,6.150135804825798,3.6228502346437774,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102510183-1,7.231507353459992,3.557019933015205,30 Astro-Epen,319 Astro-TE NN
1104095349102190418,6.332174094821215,3.3844438710126683,31 OPC-Oligo,326 OPC NN
1104095349102360152,6.690726411650058,3.254535463535484,30 Astro-Epen,319 Astro-TE NN
1104095349102350689,7.057098420353547,3.3655144427542103,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102350769,7.117249400394583,3.413834220056715,33 Vascular,333 Endo NN
1104095349102500160,7.287354861369997,4.034901792177678,31 OPC-Oligo,326 OPC NN
1104095349202030718,6.114413818102271,3.733695149676521,33 Vascular,333 Endo NN
1104095349102330351,6.935856709389248,4.421407458008991,30 Astro-Epen,318 Astro-NT NN
1104095349102510124-1,7.184317898044646,3.4859934005702224,02 NP-CT-L6b Glut,029 L6b CTX Glut
1104095349102350620,7.00214713323065,3.33028640627794,30 Astro-Epen,319 Astro-TE NN
1104095349102330462-1,7.0008756306381255,4.3905016557461165,30 Astro-Epen,318 Astro-NT NN
1104095349102350435,6.860137665779844,3.2730740164388323,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102020752-2,6.1465298864085325,4.091919998690918,20 MB GABA,209 SCs Pax7 Nfia Gaba
1104095349102020741-1,6.143315354111397,4.0843132048277,19 MB Glut,187 SCsg Pde5a Glut
1104095349102190609,6.426167903186277,3.321999753857471,01 IT-ET Glut,022 L5 ET CTX Glut
1104095349102350536,6.932328461921375,3.295893286165458,30 Astro-Epen,319 Astro-TE NN
1104095349102030864,6.13589985201643,3.652845908648063,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102330134-1,6.796692048813655,4.461056657677564,31 OPC-Oligo,327 Oligo NN
1104095349102030762,6.102888087623072,3.793413871471614,30 Astro-Epen,318 Astro-NT NN
1104095349102330259-1,6.874463780027533,4.444540138642341,30 Astro-Epen,318 Astro-NT NN
1104095349102020824-1,6.2024279916551,4.199066136907243,34 Immune,334 Microglia NN
1104095349102020860-1,6.228556706365811,4.235205394276792,20 MB GABA,209 SCs Pax7 Nfia Gaba
1104095349102500215-2,7.314427958460368,3.895551844299464,31 OPC-Oligo,327 Oligo NN
1104095349102190230,6.243109609582611,3.46672393165054,01 IT-ET Glut,005 L5 IT CTX Glut
1104095349102350744,7.096808916851304,3.3927860583111413,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102350375-1,6.821201607625049,3.2623795380890366,31 OPC-Oligo,327 Oligo NN
1104095349102510168-1,7.21401614681948,3.5230812042012984,31 OPC-Oligo,327 Oligo NN
1104095349102020746-2,6.147478168448553,4.098932422618505,31 OPC-Oligo,327 Oligo NN
1104095349102350478,6.894016236348545,3.2807588794177747,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102190839,6.5466879866157175,3.272854602924811,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102350351,6.806297613589662,3.2593665376908807,31 OPC-Oligo,327 Oligo NN
1104095349102190811,6.530168591071936,3.2774780795650016,31 OPC-Oligo,327 Oligo NN
1104095349102190481,6.359435815969821,3.3601241102469013,07 CTX-MGE GABA,052 Pvalb Gaba
1104095349102500228-1,7.312623397231346,3.794875477768004,31 OPC-Oligo,327 Oligo NN
1104095349102190177,6.21557726674842,3.500474672176922,01 IT-ET Glut,021 L4 RSP-ACA Glut
1104095349102490107-2,7.24209943114314,4.151311140657722,31 OPC-Oligo,327 Oligo NN
1104095349102190723,6.483760823366353,3.293330173148061,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102170680-1,6.675962396184445,4.468345454991129,30 Astro-Epen,318 Astro-NT NN
1104095349102350074,6.630162645015378,3.2556050837221395,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102170121-1,6.309701161272048,4.321952625101436,30 Astro-Epen,318 Astro-NT NN
1104095349102330612,7.100288113692251,4.325882695358211,31 OPC-Oligo,327 Oligo NN
1104095349102490059,7.212322201728321,4.2012458212232735,31 OPC-Oligo,327 Oligo NN
1104095349102500207-1,7.309248469431384,3.956590226816304,31 OPC-Oligo,327 Oligo NN
1104095349102490092-1,7.228253651481104,4.176697751468264,01 IT-ET Glut,023 SUB-ProS Glut
1104095349102030802,6.114356675079704,3.71686829801064,30 Astro-Epen,319 Astro-TE NN
1104095349102200647,6.59447133077832,3.260562214095153,30 Astro-Epen,319 Astro-TE NN
1104095349102190779,6.511725964006654,3.2821867986087057,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102500216-1,7.294613985693394,3.6956747652174062,31 OPC-Oligo,327 Oligo NN
1104095349102500184-1,7.298614619034021,4.009804745451388,31 OPC-Oligo,327 Oligo NN
1104095349102020701-2,6.101653492457134,3.935802869491492,20 MB GABA,213 SCsg Gabrr2 Gaba
1104095349102510121-1,7.176417614551919,3.469750921478319,31 OPC-Oligo,326 OPC NN
1104095349102170539,6.60242039940247,4.461396492757185,19 MB Glut,188 SCop Sln Glut
1104095349102170624-1,6.644392755914832,4.467226934522815,19 MB Glut,176 SCig Foxb1 Glut
1104095349102350727,7.08723095476965,3.382078532641732,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102330328-1,6.9239965306771065,4.4308365625717,20 MB GABA,209 SCs Pax7 Nfia Gaba
1104095349102190263,6.255728376720404,3.4484444245250225,33 Vascular,333 Endo NN
1104095349202170325,6.470765894544829,4.423334509305192,31 OPC-Oligo,327 Oligo NN
1104095349102030757,6.101479503027713,3.778386894600292,30 Astro-Epen,319 Astro-TE NN
1104095349202170233,6.402928014356879,4.390111522529279,31 OPC-Oligo,327 Oligo NN
1104095349102030865,6.136607655673229,3.6407290005016018,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102500131-1,7.270051245077714,4.09836140356073,31 OPC-Oligo,327 Oligo NN
1104095349102020708,6.113691364554669,4.006324605813925,33 Vascular,333 Endo NN
1104095349102500146-1,7.283902778073826,4.062784264927277,02 NP-CT-L6b Glut,031 CT SUB Glut
1104095349102500140-1,7.274919155262591,4.086923324578968,30 Astro-Epen,319 Astro-TE NN
1104095349102020788-1,6.174271243706251,4.159752309016919,31 OPC-Oligo,327 Oligo NN
1104095349102020700-1,6.095794983678166,3.879503510860756,30 Astro-Epen,318 Astro-NT NN
1104095349102510103-1,7.158822163967921,3.447269422281369,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102190323,6.284050662020325,3.417929675306566,31 OPC-Oligo,327 Oligo NN
1104095349102170324-1,6.45707670177448,4.418507482770446,30 Astro-Epen,318 Astro-NT NN
1104095349102350401,6.834949104121943,3.2613055677658576,01 IT-ET Glut,004 L6 IT CTX Glut
1104095349102190305,6.27498273634301,3.426346576780829,30 Astro-Epen,319 Astro-TE NN
1104095349102020704-2,6.094979221230673,3.868152127181797,20 MB GABA,208 SC Lef1 Otx2 Gaba
1104095349102500125-1,7.266593799300722,4.109138025278565,02 NP-CT-L6b Glut,033 NP SUB Glut
1104095349102510158-1,7.204268989374712,3.502292280789126,31 OPC-Oligo,327 Oligo NN
1104095349102350606,6.989674360374639,3.31659814126528,33 Vascular,333 Endo NN
1104095349102020839,6.212166570316149,4.22055039078363,31 OPC-Oligo,327 Oligo NN
1104095349102350760,7.106161086828831,3.395186366676365,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102200612,6.569816495726849,3.26282900160009,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102170641-1,6.654599479972352,4.4705322587832566,31 OPC-Oligo,327 Oligo NN
1104095349102330187,6.83062798602529,4.460336269593162,19 MB Glut,176 SCig Foxb1 Glut
1104095349102510174,7.22236184348519,3.5278229475340703,31 OPC-Oligo,326 OPC NN
1104095349102350653,7.028663802765378,3.3380194198293185,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102350131,6.664131886991978,3.2483666190799285,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102330154,6.809945171885144,4.464560339863634,31 OPC-Oligo,327 Oligo NN
1104095349102020790-1,6.178459820313602,4.170709815038586,30 Astro-Epen,318 Astro-NT NN
1104095349102350044,6.612731215324693,3.253973155626494,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102510227-1,7.2638324420529905,3.602089732962076,31 OPC-Oligo,327 Oligo NN
1104095349102020720-1,6.131150012946714,4.071141432568247,31 OPC-Oligo,327 Oligo NN
1104095349102190679,6.458957459977339,3.298878399182976,07 CTX-MGE GABA,053 Sst Gaba
1104095349102500202-1,7.306134576755591,3.993483652377657,31 OPC-Oligo,327 Oligo NN
1104095349102330377,6.950575098099374,4.423318398347584,19 MB Glut,187 SCsg Pde5a Glut
1104095349102170507-1,6.579913213952483,4.460916443247369,31 OPC-Oligo,327 Oligo NN
1104095349102350253,6.745067283677964,3.246569235285235,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
