motif,ids,obs,null_mean,z,p_enrich,fdr
IT-ET Glut+CTX-CGE GABA+Astro-Epen,"(np.int64(0), np.int64(2), np.int64(4))",12,65.41,-6.53,1.0,0.001927607624759049
NP-CT-L6b Glut+Astro-Epen+Astro-Epen,"(np.int64(1), np.int64(4), np.int64(4))",20,105.63,-7.2,1.0,0.001927607624759049
IT-ET Glut+IT-ET Glut+NP-CT-L6b Glut,"(np.int64(0), np.int64(0), np.int64(1))",32,171.44,-9.47,1.0,0.001927607624759049
IT-ET Glut+IT-ET Glut+OPC-Oligo,"(np.int64(0), np.int64(0), np.int64(5))",118,381.8,-12.23,1.0,0.001927607624759049
IT-ET Glut+CTX-MGE GABA+Astro-Epen,"(np.int64(0), np.int64(3), np.int64(4))",59,279.14,-12.8,1.0,0.001927607624759049
IT-ET Glut+NP-CT-L6b Glut+Astro-Epen,"(np.int64(0), np.int64(1), np.int64(4))",29,269.03,-14.61,1.0,0.001927607624759049
IT-ET Glut+Astro-Epen+Vascular,"(np.int64(0), np.int64(4), np.int64(6))",63,414.69,-17.18,1.0,0.001927607624759049
IT-ET Glut+Astro-Epen+OPC-Oligo,"(np.int64(0), np.int64(4), np.int64(5))",59,599.53,-22.29,1.0,0.001927607624759049
IT-ET Glut+Astro-Epen+Astro-Epen,"(np.int64(0), np.int64(4), np.int64(4))",55,996.75,-32.44,1.0,0.001927607624759049
IT-ET Glut+IT-ET Glut+Astro-Epen,"(np.int64(0), np.int64(0), np.int64(4))",172,1267.62,-32.5,1.0,0.001927607624759049
